
활성 연결

  프로토콜  로컬 주소              외부 주소              상태            PID
  UDP    0.0.0.0:3389           *:*                                    1896
  UDP    0.0.0.0:3702           *:*                                    5072
  UDP    0.0.0.0:3702           *:*                                    5072
  UDP    0.0.0.0:3871           *:*                                    4508
  UDP    0.0.0.0:4500           *:*                                    4636
  UDP    0.0.0.0:5050           *:*                                    11276
  UDP    0.0.0.0:5353           *:*                                    2076
  UDP    0.0.0.0:5353           *:*                                    2068
  UDP    0.0.0.0:5353           *:*                                    19660
  UDP    0.0.0.0:5353           *:*                                    19660
  UDP    0.0.0.0:5353           *:*                                    2068
  UDP    0.0.0.0:5355           *:*                                    2076
  UDP    0.0.0.0:51116          *:*                                    5072
  UDP    0.0.0.0:52539          *:*                                    2076
  UDP    0.0.0.0:54247          *:*                                    2076
  UDP    0.0.0.0:54775          *:*                                    20208
  UDP    0.0.0.0:56567          *:*                                    2076
  UDP    10.33.56.86:137        *:*                                    4
  UDP    10.33.56.86:138        *:*                                    4
  UDP    10.33.56.86:1900       *:*                                    6564
  UDP    10.33.56.86:51120      *:*                                    6564
  UDP    127.0.0.1:1900         *:*                                    6564
  UDP    127.0.0.1:49664        127.0.0.1:49664                        2260
  UDP    127.0.0.1:51121        *:*                                    6564
  UDP    127.0.0.1:51582        127.0.0.1:51582                        22748
  UDP    127.0.0.1:56621        127.0.0.1:56621                        18252
  UDP    127.0.0.1:57694        127.0.0.1:57694                        4480
  UDP    127.0.0.1:59491        127.0.0.1:59491                        12676
  UDP    127.0.0.1:60298        127.0.0.1:60298                        1232
  UDP    127.0.0.1:65000        *:*                                    17704
  UDP    [::]:123               *:*                                    1912
  UDP    [::]:500               *:*                                    4636
  UDP    [::]:3389              *:*                                    1896
  UDP    [::]:3702              *:*                                    5072
  UDP    [::]:3702              *:*                                    5072
  UDP    [::]:4500              *:*                                    4636
  UDP    [::]:5353              *:*                                    2076
  UDP    [::]:5353              *:*                                    19660
  UDP    [::]:5353              *:*                                    2068
  UDP    [::]:5355              *:*                                    2076
  UDP    [::]:51117             *:*                                    5072
  UDP    [::]:52539             *:*                                    2076
  UDP    [::]:54247             *:*                                    2076
  UDP    [::]:54775             *:*                                    20208
  UDP    [::]:56567             *:*                                    2076
  UDP    [::1]:1900             *:*                                    6564
  UDP    [::1]:51119            *:*                                    6564
  UDP    [fe80::dce7:7258:2877:1fad%18]:1900  *:*                                    6564
  UDP    [fe80::dce7:7258:2877:1fad%18]:51118  *:*                                    6564
